FOMD,TPR,Cut Ratio,Conductance,Flake-ODF,Separability,Density,Cohesiveness,Clustering Coefficient
0.421052632,1,1.99E-05,0.52173913,0.368421053,0.458333333,0.321637427,0.090909091,0.865037594
0.333333333,1,1.84E-05,0.714285714,0.333333333,0.2,0.466666667,0.142857143,0.777777778
0.315789474,1,3.24E-05,0.679442509,0.315789474,0.235897436,0.269005848,0.28,0.647303866
0.363636364,0.909090909,3.35E-05,0.75483871,0.636363636,0.162393162,0.345454545,0.111111111,0.709090909
0.5,0.5,9.88E-05,0.94,1,0.031914894,0.4,0.5,0.35
0.111111111,0.888888889,2.94E-05,0.68852459,0.333333333,0.226190476,0.527777778,0.333333333,0.761904762
0.5,0.642857143,0.000129536,0.938009788,1,0.033043478,0.208791209,0.176470588,0.43877551
0.5,0.5,4.36E-05,0.873684211,0.666666667,0.072289157,0.4,0.333333333,0.25
0,1,0.000147531,0.853955375,1,0.085510689,1,0.625,1
0,1,8.88E-05,0.849246231,1,0.088757396,1,0.6,1
0.333333333,1,1.84E-05,0.714285714,0.666666667,0.2,0.466666667,0.142857143,0.777777778
0.428571429,0.642857143,0.000142827,0.943452381,0.928571429,0.029968454,0.208791209,0.2,0.44047619
0.181818182,0.909090909,0.000141638,0.914814815,0.727272727,0.046558704,0.418181818,0.076923077,0.803030303
0.333333333,0.833333333,6.31E-05,0.895522388,0.666666667,0.058333333,0.466666667,0.333333333,0.611111111
0.5,0,6.99E-05,0.93006993,0.666666667,0.037593985,0.333333333,0.333333333,0
0.3,1,9.40E-05,0.903030303,1,0.053691275,0.355555556,0.142857143,0.819047619
0.333333333,1,1.63E-05,0.632653061,0.333333333,0.290322581,0.6,1,0.8
0.388888889,0.888888889,6.61E-05,0.832229581,0.888888889,0.100795756,0.248366013,0.333333333,0.608641975
0.5,0.571428571,9.44E-05,0.916849015,0.857142857,0.045346062,0.208791209,0.2,0.402380952
0,1,1.05E-05,0.4,0.166666667,0.75,1,0.6,1
0.111111111,0.555555556,2.87E-05,0.803921569,0.555555556,0.12195122,0.277777778,0.333333333,0.459259259
0,1,7.34E-05,0.795121951,0.714285714,0.128834356,1,0.666666667,1
0.5,0.875,5.32E-05,0.870967742,0.75,0.074074074,0.357142857,0.142857143,0.583333333
0.333333333,0.5,0.000198166,0.969151671,0.833333333,0.015915119,0.4,0.333333333,0.277777778
0.2,0.933333333,5.72E-05,0.866242038,0.733333333,0.077205882,0.2,0.047619048,0.68
0,1,2.21E-05,0.583333333,0.5,0.357142857,1,0.6,1
0.444444444,0.611111111,9.79E-05,0.903069467,0.833333333,0.053667263,0.196078431,0.166666667,0.355643739
0.294117647,0.823529412,6.34E-05,0.868020305,0.823529412,0.076023392,0.191176471,0.04,0.583473389
0.375,0.75,0.000153751,0.951219512,0.875,0.025641026,0.357142857,0.25,0.541666667
0.285714286,0.714285714,7.25E-05,0.889502762,1,0.062111801,0.476190476,0.333333333,0.580952381
0.166666667,1,0.000110384,0.921052632,0.666666667,0.042857143,0.6,0.333333333,0.9
0.142857143,0,5.90E-05,0.916083916,0.857142857,0.045801527,0.285714286,0.2,0
0.111111111,1,0.000120898,0.929919137,0.888888889,0.037681159,0.361111111,0.2,0.785185185
0.416666667,1,3.44E-05,0.731843575,0.416666667,0.183206107,0.363636364,0.2,0.843650794
0.2,1,0.000141609,0.918200409,0.9,0.04454343,0.444444444,0.111111111,0.83
0,1,3.15E-06,0.166666667,0.166666667,2.5,1,0.6,1
0.45,0.9,3.67E-05,0.6996997,0.6,0.214592275,0.263157895,0.023255814,0.76547619
0.285714286,0.714285714,2.25E-05,0.714285714,0.142857143,0.2,0.476190476,0.333333333,0.580952381
0.416666667,0.875,8.31E-05,0.788029925,0.875,0.134493671,0.307971014,0.096774194,0.716623654
0.166666667,0.5,6.20E-05,0.907692308,1,0.050847458,0.4,0.2,0.388888889
0.5,0.75,0.000104341,0.925407925,0.833333333,0.040302267,0.242424242,0.111111111,0.483333333
0.5,0.5,4.47E-05,0.837638376,0.5625,0.0969163,0.183333333,0.176470588,0.228571429
0.5,0,3.00E-05,0.850746269,0.666666667,0.087719298,0.333333333,0.333333333,0
0.272727273,0.909090909,0.000109239,0.892271663,1,0.060367454,0.418181818,0.4,0.731601732
0.375,1,0.000115119,0.858823529,1,0.082191781,0.4,0.142857143,0.83474026
0,1,6.20E-05,0.797297297,0.5,0.127118644,1,0.6,1
0.5,1,2.79E-05,0.670886076,0.5,0.245283019,0.866666667,0.75,0.9
0.5,0.583333333,6.39E-05,0.896678967,0.666666667,0.057613169,0.212121212,0.076923077,0.402777778
0,0.571428571,8.88E-05,0.924882629,0.571428571,0.040609137,0.380952381,0.2,0.380952381
0.444444444,0.444444444,3.71E-05,0.841269841,0.555555556,0.094339623,0.277777778,0.142857143,0.259259259
0.142857143,0.714285714,5.18E-05,0.839416058,0.857142857,0.095652174,0.523809524,0.6,0.523809524
0.285714286,0.785714286,0.000102502,0.930470348,0.785714286,0.037362637,0.186813187,0.090909091,0.573809524
0.285714286,0.857142857,0.000124352,0.945205479,0.714285714,0.028985507,0.380952381,0.142857143,0.666666667
0.230769231,0.307692308,5.56E-05,0.891050584,0.615384615,0.061135371,0.179487179,0.090909091,0.215384615
0.3,0.9,5.33E-05,0.757847534,0.7,0.159763314,0.6,0.5,0.726190476
0.4,0.933333333,8.43E-05,0.869848156,1,0.074812968,0.285714286,0.166666667,0.731746032
0.142857143,1,3.87E-05,0.767857143,0.571428571,0.151162791,0.619047619,0.4,0.923809524
0,1,6.20E-05,0.797297297,0.333333333,0.127118644,1,0.6,1
0.333333333,1,2.28E-05,0.684210526,0.444444444,0.230769231,0.416666667,0.272727273,0.791005291
0.333333333,0.833333333,2.21E-05,0.7,0.666666667,0.214285714,0.6,0.5,0.677777778
0.47826087,0.913043478,7.32E-05,0.853035144,0.782608696,0.086142322,0.181818182,0.047619048,0.660662526
0.153846154,1,6.36E-05,0.71978022,0.769230769,0.194656489,0.653846154,0.333333333,0.898445998
0.3125,0.625,6.21E-05,0.867768595,0.6875,0.076190476,0.2,0.058823529,0.442559524
0.3,0.7,6.53E-05,0.896103896,0.9,0.057971014,0.266666667,0.166666667,0.486666667
0.476190476,0.952380952,2.57E-05,0.564356436,0.476190476,0.385964912,0.314285714,0.523809524,0.802160802
0,1,4.10E-05,0.65,0.375,0.269230769,1,0.571428571,1
0.5,0.5,3.42E-05,0.844155844,0.666666667,0.092307692,0.4,0.333333333,0.25
0.481481481,0.962962963,7.94E-05,0.821256039,0.592592593,0.108823529,0.210826211,0.142857143,0.721206777
0.5,0.75,2.84E-05,0.75,0.75,0.166666667,0.272727273,0.384615385,0.470634921
